Amount,Damage Code,Damage Descp,Number of Records,State Abv,State Code
2728,1,Decline in Price,1,AK,2
61674,11,Drought,1,AK,2
691645,1,Decline in Price,1,AL,1
1031,9,Asian Soybean Rust,1,AL,1
12095166,11,Drought,1,AL,1
777678,12,Heat,1,AL,1
30174,21,Hail,1,AL,1
19454535,31,Excess Moisture/Precip/Rain,1,AL,1
104549,41,Frost,1,AL,1
16401,42,Freeze,1,AL,1
26947,43,Cold Winter,1,AL,1
65058,44,Cold Wet Weather,1,AL,1
125379,51,Flood,1,AL,1
462955,55,Area Plan Crops Only,1,AL,1
61796,61,Wind/Excess Wind,1,AL,1
5696,62,Hot Wind,1,AL,1
15954,71,Insects,1,AL,1
285501,81,Plant Disease,1,AL,1
1273689,93,Wildlife,1,AL,1
810082,1,Decline in Price,1,AR,5
9620,9,Asian Soybean Rust,1,AR,5
2289303,11,Drought,1,AR,5
9710160,12,Heat,1,AR,5
51409,13,Failure Irrig Supply,1,AR,5
4831,14,Failure Irrig Equip,1,AR,5
16332,15,Inability to Prepare Land for Irr,1,AR,5
493778,21,Hail,1,AR,5
119675613,31,Excess Moisture/Precip/Rain,1,AR,5
15899,41,Frost,1,AR,5
2036,42,Freeze,1,AR,5
6397,43,Cold Winter,1,AR,5
8424048,44,Cold Wet Weather,1,AR,5
6912664,51,Flood,1,AR,5
997149,55,Area Plan Crops Only,1,AR,5
1436154,61,Wind/Excess Wind,1,AR,5
39168,71,Insects,1,AR,5
316777,81,Plant Disease,1,AR,5
81603,91,Fire,1,AR,5
458424,93,Wildlife,1,AR,5
37796,97,Earthquake,1,AR,5
105312,99,Other (Snow-Lightning-Etc.),1,AR,5
89863,12,Heat,1,AZ,4
9918142,13,Failure Irrig Supply,1,AZ,4
1355800,21,Hail,1,AZ,4
222334,31,Excess Moisture/Precip/Rain,1,AZ,4
249800,42,Freeze,1,AZ,4
4714,43,Cold Winter,1,AZ,4
24573,51,Flood,1,AZ,4
969749,55,Area Plan Crops Only,1,AZ,4
51496,61,Wind/Excess Wind,1,AZ,4
75664,81,Plant Disease,1,AZ,4
11962,1,Decline in Price,1,CA,6
1639605,11,Drought,1,CA,6
249047966,12,Heat,1,CA,6
162514832,13,Failure Irrig Supply,1,CA,6
1156693,14,Failure Irrig Equip,1,CA,6
11235929,21,Hail,1,CA,6
47616979,31,Excess Moisture/Precip/Rain,1,CA,6
3470451,41,Frost,1,CA,6
8442885,42,Freeze,1,CA,6
1061493,43,Cold Winter,1,CA,6
21979888,44,Cold Wet Weather,1,CA,6
61595,51,Flood,1,CA,6
20047842,55,Area Plan Crops Only,1,CA,6
5273692,61,Wind/Excess Wind,1,CA,6
174093,62,Hot Wind,1,CA,6
2823674,71,Insects,1,CA,6
1982224,81,Plant Disease,1,CA,6
118902,91,Fire,1,CA,6
1012243,93,Wildlife,1,CA,6
2688717,99,Other (Snow-Lightning-Etc.),1,CA,6
1852426,1,Decline in Price,1,CO,8
9723064,11,Drought,1,CO,8
528705,12,Heat,1,CO,8
9220718,13,Failure Irrig Supply,1,CO,8
39465,14,Failure Irrig Equip,1,CO,8
20703273,21,Hail,1,CO,8
29594857,31,Excess Moisture/Precip/Rain,1,CO,8
365117,41,Frost,1,CO,8
13414590,42,Freeze,1,CO,8
6921298,43,Cold Winter,1,CO,8
1433569,44,Cold Wet Weather,1,CO,8
447971,51,Flood,1,CO,8
313447,55,Area Plan Crops Only,1,CO,8
3396151,61,Wind/Excess Wind,1,CO,8
688070,62,Hot Wind,1,CO,8
3809,63,Cyclone,1,CO,8
1017,64,Tornado,1,CO,8
62925,71,Insects,1,CO,8
1183740,81,Plant Disease,1,CO,8
307,87,Falling Numbers,1,CO,8
26766,93,Wildlife,1,CO,8
200520,99,Other (Snow-Lightning-Etc.),1,CO,8
29029,1,Decline in Price,1,CT,9
70133,11,Drought,1,CT,9
2681,12,Heat,1,CT,9
75560,31,Excess Moisture/Precip/Rain,1,CT,9
1369654,81,Plant Disease,1,CT,9
8382,93,Wildlife,1,CT,9
166012,95,House Burn (Pole Burn),1,CT,9
268848,1,Decline in Price,1,DE,10
1250703,11,Drought,1,DE,10
42294,12,Heat,1,DE,10
1989,21,Hail,1,DE,10
281192,31,Excess Moisture/Precip/Rain,1,DE,10
324263,44,Cold Wet Weather,1,DE,10
16734,61,Wind/Excess Wind,1,DE,10
1174,71,Insects,1,DE,10
109455,93,Wildlife,1,DE,10
145,99,Other (Snow-Lightning-Etc.),1,DE,10
206059,1,Decline in Price,1,FL,12
4331433,11,Drought,1,FL,12
1267259,12,Heat,1,FL,12
25920,14,Failure Irrig Equip,1,FL,12
481982,21,Hail,1,FL,12
21260260,31,Excess Moisture/Precip/Rain,1,FL,12
142521,41,Frost,1,FL,12
2369474,42,Freeze,1,FL,12
210511,44,Cold Wet Weather,1,FL,12
34020,45,Insufficient Chilling Hours,1,FL,12
7346,51,Flood,1,FL,12
6165773,55,Area Plan Crops Only,1,FL,12
107746,61,Wind/Excess Wind,1,FL,12
85043,64,Tornado,1,FL,12
223081,71,Insects,1,FL,12
296186,81,Plant Disease,1,FL,12
98007,93,Wildlife,1,FL,12
4655,99,Other (Snow-Lightning-Etc.),1,FL,12
398720,1,Decline in Price,1,GA,13
24106639,11,Drought,1,GA,13
4778734,12,Heat,1,GA,13
42985,14,Failure Irrig Equip,1,GA,13
229749,21,Hail,1,GA,13
46713815,31,Excess Moisture/Precip/Rain,1,GA,13
180513,41,Frost,1,GA,13
6944291,42,Freeze,1,GA,13
52093,43,Cold Winter,1,GA,13
2056254,44,Cold Wet Weather,1,GA,13
828,51,Flood,1,GA,13
536523,55,Area Plan Crops Only,1,GA,13
3145197,61,Wind/Excess Wind,1,GA,13
4734,62,Hot Wind,1,GA,13
1761,63,Cyclone,1,GA,13
151626,71,Insects,1,GA,13
2393432,81,Plant Disease,1,GA,13
9680,82,Mycotoxin (Aflatoxin),1,GA,13
1361678,93,Wildlife,1,GA,13
9966,97,Earthquake,1,GA,13
96920,99,Other (Snow-Lightning-Etc.),1,GA,13
161598,31,Excess Moisture/Precip/Rain,1,HI,15
20823,61,Wind/Excess Wind,1,HI,15
33212,92,Hurricane/Tropical Depression,1,HI,15
9975368,1,Decline in Price,1,IA,19
3750044,11,Drought,1,IA,19
120618,12,Heat,1,IA,19
4206,13,Failure Irrig Supply,1,IA,19
4567,14,Failure Irrig Equip,1,IA,19
3138728,21,Hail,1,IA,19
114767906,31,Excess Moisture/Precip/Rain,1,IA,19
494,41,Frost,1,IA,19
26309,42,Freeze,1,IA,19
29688,43,Cold Winter,1,IA,19
2249246,44,Cold Wet Weather,1,IA,19
3050489,51,Flood,1,IA,19
2685001,61,Wind/Excess Wind,1,IA,19
7986,62,Hot Wind,1,IA,19
38500,64,Tornado,1,IA,19
46012,71,Insects,1,IA,19
1320319,81,Plant Disease,1,IA,19
84552,82,Mycotoxin (Aflatoxin),1,IA,19
27139,91,Fire,1,IA,19
299612,93,Wildlife,1,IA,19
116,97,Earthquake,1,IA,19
580774,99,Other (Snow-Lightning-Etc.),1,IA,19
3923725,1,Decline in Price,1,ID,16
20023984,11,Drought,1,ID,16
8440750,12,Heat,1,ID,16
8008523,13,Failure Irrig Supply,1,ID,16
476441,14,Failure Irrig Equip,1,ID,16
5460700,21,Hail,1,ID,16
897500,31,Excess Moisture/Precip/Rain,1,ID,16
529303,41,Frost,1,ID,16
1339335,42,Freeze,1,ID,16
3721002,43,Cold Winter,1,ID,16
327648,44,Cold Wet Weather,1,ID,16
102103,51,Flood,1,ID,16
687648,55,Area Plan Crops Only,1,ID,16
834287,61,Wind/Excess Wind,1,ID,16
73100,62,Hot Wind,1,ID,16
1421633,71,Insects,1,ID,16
2568699,81,Plant Disease,1,ID,16
106737,91,Fire,1,ID,16
382312,93,Wildlife,1,ID,16
22301,99,Other (Snow-Lightning-Etc.),1,ID,16
40485548,1,Decline in Price,1,IL,17
1462635,11,Drought,1,IL,17
23222,12,Heat,1,IL,17
-78,13,Failure Irrig Supply,1,IL,17
83035,14,Failure Irrig Equip,1,IL,17
99952,15,Inability to Prepare Land for Irr,1,IL,17
819511,21,Hail,1,IL,17
1368048,22,Excess Sun,1,IL,17
370041985,31,Excess Moisture/Precip/Rain,1,IL,17
63917,41,Frost,1,IL,17
445165,42,Freeze,1,IL,17
978793,43,Cold Winter,1,IL,17
8141649,44,Cold Wet Weather,1,IL,17
17546455,51,Flood,1,IL,17
623892,61,Wind/Excess Wind,1,IL,17
71347,64,Tornado,1,IL,17
59632,71,Insects,1,IL,17
1175654,81,Plant Disease,1,IL,17
5007699,82,Mycotoxin (Aflatoxin),1,IL,17
9158,85,Federal or State Ordered Destruct,1,IL,17
21014,91,Fire,1,IL,17
153887,93,Wildlife,1,IL,17
8070,97,Earthquake,1,IL,17
2174514,99,Other (Snow-Lightning-Etc.),1,IL,17
19568927,1,Decline in Price,1,IN,18
701,9,Asian Soybean Rust,1,IN,18
1064670,11,Drought,1,IN,18
73307,12,Heat,1,IN,18
10923,13,Failure Irrig Supply,1,IN,18
10823,14,Failure Irrig Equip,1,IN,18
765725,21,Hail,1,IN,18
338885506,31,Excess Moisture/Precip/Rain,1,IN,18
1090210,41,Frost,1,IN,18
322215,42,Freeze,1,IN,18
289878,43,Cold Winter,1,IN,18
3524853,44,Cold Wet Weather,1,IN,18
19867382,51,Flood,1,IN,18
371643,61,Wind/Excess Wind,1,IN,18
145,64,Tornado,1,IN,18
51998,71,Insects,1,IN,18
441304,81,Plant Disease,1,IN,18
1320365,82,Mycotoxin (Aflatoxin),1,IN,18
37996,91,Fire,1,IN,18
165119,93,Wildlife,1,IN,18
156828,97,Earthquake,1,IN,18
